	N120A	N123A	N124A	N126A	N130A	N131A	N137A	N140A	N141A	N142A	N144A	N145A	N146A	N148A	N149A	N150A	N151A	N152A	N153A	N154A	N155A	N156A	N157A	N158A	N160A	N161A	N162A	N163A	N164A	N165A	N166A	N169A	N170A	N171A	N172A	N173A	N175A	N176A	N177A	N178A	N179A	N180A	N181A	N182A	N183A	N185A	N186A	N187A	N188A	N189A	N190A	N197A	N199A	N200A	N201A	N202A	N203A	N204A	N205A	N208A	N209A	N210A	N211A	N212A	N214A	N215A	N216A	N219A	N220A	N221A	N222A	N223A	N226A	N228A	N229A	N230A	N232A	N233A	N237A	N238A	N239A	N240A	N242A	N244A	N245A	N246A	N248A	N250A	N251A	N252A	N255A	N256A	N257A	N261A	N262A	N263A	N264A	N265A	N267A	N268A	N270A
APOC3	6.636624621	6.58345891	6.033423002	6.87036472	6.257387843	7.553821257	6.376776572	5.875288598	4.968090752	7.644577357	7.078951341	5.575917361	9.325080544	5.708739041	6.485426827	7.939579214	5.949534933	7.007868243	5.61176256	7.551516018	5.794415866	5.572889668	7.369815424	6.135452784	6.026800059	6.721099189	5.716990894	5.99095486	5.635173947	5.361066489	6.933100475	8.032321287	5.956521363	6.03562391	6.169925001	7.026800059	6.559185866	7.140574178	6.249824549	8.216745858	6.554588852	6.226893814	6.518849829	5.804776378	7.277054876	5.669593751	8.075746538	7.103287808	6.221103725	6.387155718	6.106432078	9.792139552	5.852997588	6.653919873	5.551516018	7.746178381	5.899659026	5.189824559	6.098032083	5.51412226	7.517275693	6.782670659	5.95419631	6.485426827	4.832890014	6.207502459	6.037821465	6.44625623	6.201633861	5.572889668	7.321026129	5.741466986	6.350497247	5.921245889	6.020146573	6.816343705	7.12722055	7.225930411	5.8899602	6.630813152	6.707359132	6.357552005	5.432959407	7.17292749	7.411934625	7.634448062	10.09961081	7.623515741	7.187846909	7.081083929	5.942514505	7.829088444	5.770829046	5.350497247	6.770829046	5.449561375	6.725195817	5.475733431	7.460251099	7.089582893	6.577428828
STOM	6.285402219	7.194756854	6.968090752	6.395748328	6.898450233	5.855491443	5.797012978	7.911092332	6.163901214	6.395748328	5.802193217	6.298291731	6.112700133	6.183883459	6.044394119	7.827819025	6.195741293	7.437960088	5.956521363	7.043300754	6.831623937	6.980710829	5.64096791	7.55228484	7.408542042	6.017921908	6.804776378	6.289096702	7.321026129	6.590961241	7.346070441	6.76420813	7.216260837	6.316507819	6.506208389	7.729280846	6.786596362	6.577428828	6.722466024	8.505414609	8.451211112	6.630813152	7.236492618	7.165911939	7.21042783	5.14974712	6.777419716	6.847996907	7.152791852	7.652486495	7.328226119	6.596935142	6.578938713	6.958842675	7.579693063	6.449561375	5.885086225	6.64096791	7.373300197	7.180903709	7.14974712	7.337175869	6.207502459	6.444600814	6.223036338	6.923624611	6.746850183	6.553053253	6.309248961	5.860466259	7.402585758	6.145677455	7.006746832	6.994353437	6.656782364	6.118941073	6.617651119	6.543805176	6.875288598	8.092757141	6.318316841	6.518849829	6.283551423	7.14363831	7.262094845	5.392317423	6.521992956	7.394891366	6.085339669	6.207502459	5.725195817	6.860466259	6.864186145	7.182890893	7.447909749	6.046578367	6.296457407	4.760220946	6.765534746	5.807354922	6.949534933
ASPN	5.157852169	5.658211483	6.526694846	8.035073997	3.847996907	4.842978832	4.491853096	6.506208389	6.638073837	5.145677455	6.167919866	5.809928866	6.581953751	6.14363831	6.697662633	7.192785959	5.827819025	4.217230716	5.402585758	5.885086225	5.378511623	4.432959407	5.587964989	6.0725346	7.270528942	7.517275693	6.74819285	7.235535607	5.972692654	5.754887502	8.739443098	7.275193334	5.911691582	5.968090752	6.534497434	4.09592442	8.393604969	4.44625623	7.159871337	4.925999419	6.563768278	4.963474124	7.117902789	4.716990894	9.332484173	5.004501392	7.524345816	7.514911265	2.744161096	3.548436625	5.672425342	9.476746204	7.433794059	6.108524457	5.289096702	9.064473329	7.546122759	5.880195729	5.683696454	5.832890014	7.530601415	5.862947248	4.781359714	5.482202926	5.968090752	7.883865155	4.590961241	8.50422312	5.754887502	6.58044702	7.243173983	7.331812684	7.373300197	7.725195817	6.459431619	6.215290306	5.578938713	7.189824559	5.638073837	4.649615459	5.599912842	6.432959407	7.485426827	6.786596362	1	3.560714954	6.986410935	5.217230716	2.963474124	6.236492618	5.368069877	6.246027981	5.091699834	4.008988783	8.853933289	4.137503524	5.741466986	5.581953751	7.6574971	7.217230716	4.700439718
APOH	5.928370323	6.201633861	5.392317423	5.197708158	8.147204925	6.338067798	8.773798574	6.301953395	5.930737338	5.725195817	6.348728154	6.259272487	6.523561956	5.672425342	6.242221395	5.827819025	6.645298164	8.945151171	5.942514505	5.557655155	7.684397984	6.474111514	6.289096702	6.574404309	5.746850183	5.754887502	7.041111535	5.875288598	8.121015401	6.078951341	6.646738698	5.274261661	6.549977143	7.263973355	6.927185358	6.472487771	6.292781749	7.671010241	6.026800059	5.965784285	7.316507819	6.786596362	5.860466259	7.490249211	6.483815777	6.309248961	6.816343705	5.812498225	9.629538767	7.442943496	6.929554316	6.930737338	6.187846909	7.259272487	7.471675214	6.5360529	5.820178962	6.085339669	7.721099189	7.699745948	5.842978832	6.298291731	5.911691582	6.452858965	5.933100475	6.031218731	6.924812504	6.687900522	6.354028938	7.619119511	6.813781191	6.100136671	5.614709844	6.387155718	6.782670659	6.131342539	7.185866545	6.195741293	7.002252452	9.441491779	7.193771743	7.041111535	5.925999419	6.114783447	6.99095486	7.752882366	6.193771743	5.54225805	7.347842794	6.786596362	6.560714954	6.197708158	8.527085979	6.730639956	5.94016675	6.539158811	6.04220656	5.520422249	6.205548911	6.03562391	7.110613806
ANK1	5.412781525	6.861707287	6.215290306	6.321928095	7.290018847	5.958842675	6.017921908	9.09724207	4.95419631	5.498250868	5.217230716	5.091699834	6.402585758	5.725195817	5.44625623	7.261154673	5.666756592	6.855491443	4.99095486	7.760220946	5.429615964	8.059614856	5.232660757	6.715618859	7.85237345	5.01346226	7.11997861	5.760220946	5.705977902	6.920055055	6.992088609	7.212374788	7.313790025	5.157852169	7.786596362	6.285402219	6.253611152	4.892391026	6.627898616	8.630813152	8.905086099	5.708739041	6.757556689	7.633721813	7.13442632	5.004501392	6.339850003	5.977279923	6.840463234	7.231701199	6.6794801	6.0725346	6.729280846	5.852997588	7.102238194	6.346956889	5.459431619	6.14363831	6.137503524	7.40173285	6.961160258	7.563768278	6.040015679	5.364572432	6.44625623	6.87282876	6.431288654	6.020146573	5.714245518	4.255500733	7.089582893	6.287250643	6.95419631	6.92243574	6.663913842	7.014578465	7.289096702	6.407692649	6.601399391	7.136478518	6.865423978	6.375039431	5.318316841	6.327328083	8.322829498	5.94016675	7.648896806	9.223519087	6.648177796	7.406842755	5.923624611	7.912889336	5.197708158	6.662490364	7.504620392	4.678071905	6.891176125	3.744161096	6.916476644	5.855491443	6.061776198
CD5L	6.559185866	5.566815154	5.54225805	5.949534933	7.822730148	5.157852169	8.718704106	4.972692654	7.649615459	5.958842675	5.364572432	4.921245889	7.411934625	5.061776198	6.802193217	6.303780748	7.206526016	7.171927354	5.161887682	6.177917792	5.894817763	6.930737338	6.330916878	6.682292371	5.626439137	5.465974465	8.241744865	5.419538892	6.953032377	5.599912842	6.498250868	6.521992956	7.182890893	7.276124405	5.914086097	7.736740155	5.99095486	6.905687849	4.760220946	5.62935662	6.601399391	6.74281467	6.008988783	7.482202926	5.646738698	6.311067102	5.426264755	5.181897643	9.381759231	7.97384084	8.747185967	6.207502459	6.020146573	5.652486495	7.06501215	5.017921908	5.867896464	4.459431619	9.622417939	8.93516505	6.985272714	5.82527683	4.981852653	6.45779126	6.454504938	6.357552005	7.963474124	7.224001674	7.74348804	8.328226119	6.311067102	4.112700133	5.923624611	5.608809243	6.76420813	6.627898616	5.361066489	5.419538892	7.343407822	7.75087444	5.894817763	7.837943242	4.817623258	6.87774425	8.312882955	8.445014846	7.5360529	7.675251386	7.069315495	6.14363831	6.912889336	5.930737338	5.357552005	6.314696526	6.697662633	5.906890596	8.086932341	6.287250643	6.385431037	5.456149035	5.578938713
PROS	5.746850183	5.882643049	6.707359132	5.608809243	7.373300197	5.572889668	6.6043679	4.307428525	6.427941333	5.783980414	5.572889668	4.733354341	7.518849829	4.64385619	6.668175869	6.861707287	5.762880293	6.283551423	4.399171094	5.997744026	5.378511623	6.169925001	7.377644358	5.778734244	7.315602457	5.100136671	5.719731057	5.169925001	5.402585758	5.617651119	6.452858965	7.708049252	7.230741003	7.341630009	6.046578367	7.733354341	6.845490051	6.54689446	5.566815154	6.738767837	5.50779464	6.475733431	7.211401637	7.492654371	5.459431619	4.807354922	7.567575869	5.852997588	7.23457796	6.361066489	7.449561375	5.944858446	6.205548911	5.880195729	7.785942819	6.283551423	6.432959407	5.266786541	5.807354922	6.387155718	7.397460726	7.181897643	5.343407822	6.571373436	5.970393538	5.8899602	6.630813152	5.575917361	7.438791853	7.267723052	6.746850183	5.044394119	8.556122818	6.515699838	5.666756592	6.882643049	6.636624621	5.857980995	7.496654083	8.296916207	6.738767837	6.238404739	4.765534746	6.891176125	8.49625461	9.129798173	7.508587112	7.811856314	9.265146182	5.22881869	5.875288598	7.180903709	6.685099172	8.532161085	8.732676223	5.860466259	5.937815169	4.733354341	6.532940288	6.381975479	6.662490364
AGRIN	6.793115555	6.444600814	6.711494907	6.177917792	4.935459748	6.272396509	5.361066489	7.485426827	7.475733431	5.773468928	6.605849867	7.176921112	7.188836073	6.264911693	6.826548487	7.605109074	7.115823977	6.209453366	6.253611152	7.218199944	6.38024459	5.738767837	7.053111336	6.974988112	6.86913112	6.857980995	6.532940288	6.526694846	6.205548911	7.216260837	6.574404309	7.783980414	5.916476644	6.277984747	6.804776378	5.177917792	6.955359305	5.364572432	6.355791547	7.568336182	6.385431037	5.949534933	7.044394119	5.804776378	6.726558779	5.361066489	6.976134473	6.461070114	4.649615459	6.169925001	5.904484098	6.593951284	6.300123725	7.145677455	5.663913842	6.622051819	6.93191939	6.659639187	6.011227255	5.730639956	6.572889668	5.887525271	5.918863237	5.951867504	6.427941333	6.671010241	5.928370323	7.248876343	6.746850183	7.021257621	7.141596278	6.671010241	6.701826258	5.997744026	6.944858446	6.100136671	6.417852515	7.84862294	6.381975479	5.765534746	6.061776198	6.882643049	7.493455201	7.069315495	6.015693807	5.09592442	6.827819025	6.842978832	5.572889668	4.64385619	6.318316841	6.753551055	6.205548911	4.765534746	6.808642468	6.203592714	6.279842694	5.899659026	6.866660751	6.711494907	6.209453366
CAZA1	6.165911939	6.499845887	5.882643049	6.046578367	5.8899602	7.010108453	6.129283017	6.307428525	6.509379149	6.361066489	6.830356747	6.504620392	5.840463234	6.614709844	6.758889433	5.03562391	6.875288598	6.378511623	7.203592714	6.133399125	6.851749041	6.76420813	6.793115555	6.586464526	6.221103725	6.323730338	6.703211467	6.903279342	6.495055528	7.14974712	5.760220946	6.165911939	7.481395824	5.958842675	6.490249211	6.837943242	5.880195729	5.683696454	6.320123598	5.346956889	6.378511623	6.517275693	6.110613806	6.857980995	6.199672345	6.902073579	5.754887502	6.498250868	5.906890596	7.110613806	5.422905743	5.970393538	6.659639187	7.029011087	7.198690586	6.553053253	6.818901676	7.352264173	6.495055528	6.785288981	6.659639187	7.123086751	6.74819285	5.689299161	7.019034669	6.669593751	6.976134473	6.48864354	6.968090752	5.902073579	6.287250643	6.916476644	6.744161096	6.300123725	6.474111514	6.866660751	6.808642468	6.411087227	6.881419908	7.093813673	6.880195729	6.586464526	6.187846909	6.207502459	6.845490051	5.209453366	6.285402219	6.776103988	5.738767837	6.701826258	6.721099189	6.638073837	6.638073837	7.319220503	6.081083929	6.074676686	6.559185866	6.809928866	6.185866545	6.808642468	6.451211112
PGS2	3.64385619	6.994353437	5.923624611	8.468013034	4.578938713	5.551516018	4.350497247	9.475936042	7.877130729	5.053111336	6.712870868	7.398316163	6.224966365	7.38024459	7.469234794	7.019034669	6.807354922	5.153805336	6.191799501	6.211401637	5.904484098	4.5360529	5.419538892	7.080018029	6.441284272	7.283551423	7.985841937	7.232660757	7.255500733	6.236492618	8.033973543	6.941341105	6.6794801	5.697662633	6.121015401	3.744161096	7.534497434	5.658211483	7.270528942	5.865423978	5.655351829	5.605849867	7.416164165	5.14974712	7.442114122	5.99095486	5.361066489	6.141596278	3.350497247	4.94016675	5.48864354	9.217230716	6.414473836	4.802193217	6.48864354	8.790511412	7.019034669	6.902073579	4.749534268	6.40599236	7.98982022	4.916476644	4.061776198	6.083213368	5.744161096	7.663913842	4.672425342	8.837943242	5.9795681	7.361943774	5.678071905	7.684397984	6.274261661	6.845490051	5.626439137	5.947198584	5.708739041	6.207502459	5.48864354	5.791814071	5.791814071	4.99095486	7.417008587	5.692092375	3.722466024	5.01346226	7.002252452	4.255500733	5.399171094	5.087462841	6.10433666	6.456149035	6.359310317	4.694880193	6.569855608	5.590961241	5.995484519	5.605849867	8.075746538	7.29553937	4.201633861
ANXA7	7.026800059	6.929554316	7.014578465	6.703211467	5.501439145	6.316507819	6.183883459	7.088523257	5.746850183	6.28169825	6.381975479	6.719731057	6.185866545	6.599912842	6.145677455	5.548436625	6.439623138	6.62497818	6.876516947	6.076815597	6.354028938	6.623515741	5.827819025	6.361066489	6.490249211	6.361066489	6.534497434	6.209453366	6.730639956	6.882643049	6.195741293	6.30560579	5.914086097	6.54225805	7.14363831	6.361066489	6.765534746	5.918863237	6.503030646	5.87774425	5.87036472	6.215290306	6.752213368	6.259272487	6.614709844	6.718361626	6.749534268	6.64096791	5.61176256	6.189824559	6.390598906	6.199672345	6.462706751	6.701826258	6.394033895	6.73470962	7.008988783	6.429615964	6.589463893	6.876516947	6.704595348	6.357552005	6.790511412	6.070389328	6.523561956	6.94016675	5.909293086	6.392317423	5.958842675	5.581953751	6.666756592	6.236492618	6.776103988	6.776103988	6.712870868	6.392317423	6.312882955	6.332707934	6.855491443	5.899659026	6.361066489	6.531381461	7.237448996	6.725195817	5.815063017	5.346956889	6.599912842	6.697662633	5.026800059	7.765534746	6.916476644	6.133399125	6.745506266	5.794415866	6.910492832	6.760220946	6.595443985	6.790511412	6.51412226	6.712870868	6.469234794
CATA	5.343407822	6.414473836	5.520422249	6.462706751	6.469234794	7.523561956	6.62935662	7.343407822	5.918863237	5.652486495	6.876516947	5.885086225	5.87282876	6.768184325	5.916476644	5.429615964	6.518849829	7.424586226	7.21916852	5.832890014	6.512542955	7.598424761	6.565292521	7.175923742	5.902073579	5.727920455	7.032321287	6.777419716	6.390598906	7.718361626	5.773468928	6.232660757	8.223519087	5.804776378	7.356672044	7.756222713	5.50779464	5.928370323	6.44625623	6.948367232	7.253611152	6.355791547	6.238404739	7.728600811	6.163901214	6.934280594	5.986410935	5.944858446	7.532940288	8.57856139	5.749534268	6.589463893	6.238404739	6.77478706	8.196725061	6.601399391	6.593951284	6.478971805	6.722466024	7.394033895	6.512542955	7.224001674	6.451211112	5.43629512	7.217230716	6.381975479	7.125155131	6.43629512	6.758889433	5.361066489	6.392317423	6.112700133	6.083213368	6.482202926	6.255500733	7.450386479	7.209453366	5.581953751	7.428778891	8.017921908	7.609548139	6.316507819	5.741466986	6.197708158	8.334496768	6.135452784	7.286326727	8.292321633	6.517275693	7.806710718	7.363696745	7.383704292	7.043300754	8.613605318	6.008988783	6.866660751	7.06501215	6.876516947	6.177917792	6.22881869	6.712870868
TENS1	7.553053253	7.070389328	7.257387843	6.921245889	4.94016675	5.752213368	5.789207575	7.486231678	5.791814071	7.343407822	6.58044702	7.036723106	6.477353527	6.249824549	5.968090752	5.141596278	6.421223299	6.026800059	6.253611152	6.672425342	6.213347282	6.197708158	5.894817763	5.87282876	6.45779126	7.732676223	6.139551352	6.416164165	6.249824549	6.816343705	6.002252452	6.659639187	5.563768278	6.301953395	5.371558863	5.189824559	6.416164165	5.590961241	7.024585638	5.526694846	5.482202926	7.087462841	6.236492618	5.416164165	6.54225805	5.880195729	6.707359132	6.495055528	4.371558863	5.350497247	6.244125943	6.230741003	5.855491443	6.21916852	5.375039431	5.760220946	7.132371199	5.997744026	7.020146573	6.381975479	6.756222713	5.64096791	7.053111336	6.015693807	6.354028938	5.951867504	5.599912842	6.106432078	5.602884409	5.224966365	6.451211112	6.491853096	6.294620749	6.656782364	6.642412773	6.155830172	6.123086751	6.94016675	6.059614856	5.057450272	5.649615459	6.520422249	7.129283017	6.427941333	4.949534933	5.478971805	5.904484098	6.022367813	4.087462841	5.605849867	5.850499414	5.83541884	6.083213368	4.847996907	6.381975479	6.292781749	6.417852515	6.394033895	6.345183447	6.840463234	6.54225805
LYSC	7.781359714	6.678071905	5.274261661	7.48864354	7.070389328	5.520422249	7.215290306	6.098032083	6.251719093	6.153805336	6.392317423	5.392317423	5.385431037	7.529040056	4.99095486	4.510961919	6.395748328	8.810250286	6.300123725	4.968090752	7.038918989	6.040015679	5.54225805	5.263034406	6.244125943	5.560714954	6.451211112	5.189824559	8.955649908	5.54225805	7.092757141	5.213347282	6.62497818	6.290940402	6.584962501	6.64385619	5.614709844	6.093813673	6.596935142	4.981852653	7.089582893	6.004501392	6.581953751	6.332707934	6.355791547	6.385431037	5.675251386	6.495055528	7.701826258	9.017365205	7.221103725	5.830356747	6.54225805	7.048759312	7.404290064	5.984133595	5.244125943	5.820178962	7.858602712	8.660709039	6.630813152	7.12722055	6.806066226	7.434628228	5.894817763	7.062855655	6.802193217	6.592457037	6.917670434	5.623515741	7.007868243	5.560714954	5.804776378	7.421223299	6.75087444	6.332707934	6.189824559	6.209453366	5.757556689	10.41510794	7.159871337	6.714245518	7.086401646	6.298291731	6.545350645	5.343407822	5.266786541	5.741466986	4.968090752	6.395748328	7.770829046	5.965784285	7.763544364	5.694880193	6.832890014	6.046578367	6.520422249	4.478971805	6.309248961	6.102238194	7.224966365
SERPH	5.781359714	5.663913842	5.62058641	6.163901214	4.944858446	7.521992956	5.87036472	5.381975479	7.04220656	6.076815597	6.070389328	5.847996907	6.189824559	6.431288654	6.461070114	6.652486495	7.525912261	5.738767837	6.841721581	5.899659026	6.807354922	6.64385619	6.964629667	7.549977143	5.958842675	6.316507819	6.323730338	6.687900522	5.62935662	7.110613806	5.623515741	5.986410935	6.48864354	6.108524457	6.017921908	5.768184325	6.217230716	5.498250868	6.087462841	4.968090752	5.193771743	5.587964989	6.334496768	6.294620749	6.238404739	6.596935142	5.523561956	6.50779464	4.852997588	6.845490051	5.545350645	6.145677455	6.059614856	5.923624611	6.364572432	6.656782364	6.590961241	7.772149591	6.089582893	6.447909749	7.001126665	6.459431619	6.607330314	5.339850003	7.73470962	6.264911693	6.560714954	6.683696454	6.768184325	6.462706751	6.031218731	6.327328083	6.48703608	6.272396509	6.593951284	7.057450272	6.816343705	7.182890893	6.944858446	5.255500733	6.623515741	6.283551423	6.141596278	6.475733431	6.081083929	5.06608919	6.566815154	6.970393538	5.189824559	5.426264755	6.951867504	5.736063628	7.114783447	6.181897643	5.99095486	7.198690586	6.94602899	6.400879436	6.321928095	7.14363831	5.965784285
PEDF	6.201633861	7.084276911	5.303780748	6.928370323	7.943686952	6.385431037	7.651051691	5.03562391	7.197708158	6.17990909	6.92243574	6.346956889	6.753551055	6.685099172	7.348728154	6.163901214	7.244125943	7.692789835	5.722466024	5.850499414	7.256444596	6.257387843	6.766860144	8	6.659639187	7.729960561	6.598424761	6.6395216	7.468420402	6.131342539	6.58044702	5.626439137	6.613236955	7.046578367	6.802193217	6.053111336	6.45779126	7.157852169	6.836681593	5.804776378	6.836681593	6.175923742	6.303780748	6.675251386	6.701826258	6.593951284	7.071462363	6.226893814	7.634448062	6.605849867	7.549207089	6.780047576	5.855491443	6.745506266	7.277984747	6.95070169	5.797012978	5.904484098	7.137503524	6.622051819	6.323730338	5.944858446	6.861707287	6.998872454	5.482202926	6.562242424	6.464341533	7.250772132	7.174925683	7.99095486	6.357552005	6.223036338	5.809928866	6.689299161	6.320123598	6.441284272	7.789859641	6.793115555	6.369815424	8.080551077	6.619119511	6.722466024	5.266786541	6.780047576	6.352264173	6.592457037	6.572889668	5.697662633	6.820178962	6.62935662	6.246027981	6.444600814	7.303780748	6.348728154	6.388878339	5.649615459	6.539158811	5.263034406	7.089582893	7.020146573	7.03562391
