	N120	N123	N124	N126	N130	N131	N138	N140	N141	N142	N144	N146	N148	N149	N150	N151	N153	N158	N160	N161	N163	N165	N166	N169	N171	N172	N175	N176	N178	N179	N182	N183	N185	N186	N187	N188	N189	N192	N197	N200	N201	N202	N203	N205	N210	N212	N214	N215	N216	N221	N222	N224	N226	N228	N229	N232	N233	N238	N239	N240	N242	N244	N245	N246	N248	N250	N252	N254	N255	N261	N262	N265	N267	N268	N270
CD300LG	2.00046207	1.488918767	0.701844185	1.50810155	1.991014234	1.228602953	0.748731684	0.421247227	0.41813	0.45717	1.121666139	1.691756176	2.635718688	0.620825195	1.167946476	1.70826957	0.103378377	1.038503689	0.795578852	0.550331684	0.318764107	0.385738934	0.420437379	1.374893689	0.953088767	2.178616266	0.35424	1.236341268	0.591183093	1.054607499	0.829123754	0.58402	1.257138688	0.012636476	0.654390581	2.345610581	1.050016139	0.55365155	0.814865663	0.075410672	1.147731905	0.048030848	0.652687338	0.62163	1.075552759	0.874927379	0.09696207	0.576980581	0.366198934	1.405077379	0.434826476	0.41253147	0.592521733	0.431127227	0.207013093	0.65965147	1.095903349	0.880096176	1.305951905	-0.019544337	-0.281943001	0.54713	0.57630147	2.440465254	0.549501268	0.513033689	0.53833	0.572545254	1.266741503	2.310088852	0.38864	1.607398688	0.467316472	0.429168852	0.390347338
PARK7	6.99383207	7.839648767	4.928614185	6.72808155	6.308074234	7.306512953	6.276291684	6.470847227	6.54885	7.08333	6.858936139	7.512836176	9.291228688	6.443335195	4.109726476	7.14895957	6.562878377	6.793133689	5.502268852	6.849611684	6.391174107	6.800348934	4.882057379	7.122783689	7.064148767	6.241546266	5.69225	6.620111268	5.882493093	5.979497499	6.342203754	6.58907	7.623988688	6.045826476	6.294970581	6.637140581	6.442076139	6.50229155	5.843625663	6.054810672	6.301801905	5.868260848	6.970447338	5.87074	6.519772759	6.569937379	5.93661207	5.772740581	6.199418934	6.385677379	5.102646476	6.22001147	6.064031733	6.351357227	5.414413093	6.16401147	6.885153349	4.529056176	6.793901905	4.403565663	4.246526999	5.87672	6.32909147	6.261895254	5.489761268	6.313693689	6.45784	3.713305254	6.384751503	6.370318852	4.9534	8.115748688	5.020396472	6.709398852	6.619917338
BLVRB	1.76985207	3.460518767	1.195424185	2.85914155	4.699084234	3.592842953	4.949641684	5.884297227	2.33925	1.41014	2.634806139	4.381046176	5.218338688	1.176755195	2.454816476	2.31857957	2.468618377	2.461303689	1.824208852	1.432171684	1.489644107	4.065548934	1.451087379	2.518343689	2.518378767	5.661286266	1.97339	1.870491268	3.717983093	3.815927499	5.486523754	2.44804	4.331648688	1.858696476	2.210260581	4.255260581	5.680006139	5.15855155	1.954765663	2.047830672	6.053061905	1.501400848	2.044917338	1.38581	4.885602759	2.453477379	1.50222207	1.814860581	4.396428934	1.654657379	2.920216476	1.27887147	2.337991733	3.396607227	1.886613093	3.74383147	2.226253349	3.943256176	5.206671905	1.283845663	-0.209473001	2.36942	5.35924147	3.319685254	4.835051268	4.833973689	3.22864	1.288135254	4.712531503	6.353858852	2.32735	4.706558688	3.628766472	3.261168852	3.342977338
CD74	3.00673207	4.262008767	4.668204185	5.79345155	2.652534234	5.802212953	5.503551684	4.486447227	4.99765	3.26906	6.047016139	5.649446176	8.349208688	2.904525195	4.970636476	5.84153957	5.771678377	5.848323689	4.807478852	3.993831684	4.970054107	5.436968934	2.853487379	3.527483689	3.662498767	5.841726266	3.82723	3.405761268	5.464923093	2.797177499	4.453153754	3.99778	6.580288688	3.523636476	5.383010581	4.247670581	5.076846139	4.18644155	5.102205663	5.873500672	6.143601905	4.327310848	5.610867338	3.14512	6.398982759	4.251157379	5.28359207	5.870280581	3.971748934	2.862887379	5.527626476	4.26521147	5.661111733	5.168997227	5.552723093	5.03971147	5.474113349	3.712046176	5.600271905	5.109515663	2.923676999	4.7469	5.76184147	3.489285254	5.784111268	5.728753689	2.22659	3.250605254	5.586281503	3.353428852	5.21396	6.234478688	5.855536472	5.793888852	5.807027338
CCL21	3.83128207	4.179128767	2.632384185	3.26434155	6.126714234	5.840282953	3.486451684	2.999727227	5.43288	3.38427	3.066146139	4.419296176	6.850828688	3.725345195	5.361206476	6.15251957	3.108738377	5.861333689	1.850188852	3.326521684	4.470044107	2.979788934	2.095007379	3.615223689	3.242388767	5.668936266	1.96713	2.451951268	2.672663093	2.694917499	5.071593754	2.95509	6.031888688	1.161846476	4.220390581	3.032860581	7.327646139	3.20255155	2.986705663	3.374900672	3.799041905	2.476480848	1.386647338	4.43398	7.226802759	5.459817379	3.44088207	2.423870581	5.666468934	8.190707379	2.192876476	2.92138147	6.503001733	6.014607227	2.801123093	5.08665147	4.088893349	2.108556176	5.974561905	3.772305663	1.260606999	4.17669	1.31903147	2.742585254	4.271971268	6.963083689	2.18525	1.091505254	2.998661503	5.569088852	1.9567	3.571388688	2.735106472	5.460398852	2.945547338
PTPRF	0.92311207	1.066148767	0.559024185	0.53966155	0.131594234	0.694872953	-0.116278316	0.503977227	0.43533	0.0	0.681696139	1.954796176	2.921228688	-0.023634805	1.015916476	1.12855957	-0.134801623	0.900443689	0.0	0.608551684	-0.141755893	0.493728934	0.428567379	1.540863689	0.575908767	0.047766266	0.0	-0.049678732	0.0	0.446097499	-0.004496246	0.68382	1.748328688	0.0	0.507680581	0.346970581	-0.178133861	0.45678155	0.573955663	0.314480672	-0.188078095	0.046450848	1.131677338	0.08674	0.849442759	0.734007379	0.11747207	0.086030581	0.0	0.563397379	-0.076053524	0.04216147	0.967761733	0.227987227	0.325913093	-0.02893853	1.415073349	0.0	0.240231905	0.0	-0.246763001	0.03846	0.06229147	1.251085254	0.252631268	0.441723689	0.0	0.0	0.658931503	-0.178871148	0.37654	1.848078688	-0.032263528	0.469208852	0.370057338
BCAM	6.65872207	7.249858767	6.595024185	6.20114155	4.902404234	7.006492953	5.262141684	7.170537227	5.81244	5.91509	6.451606139	7.888056176	8.701348688	6.695655195	6.614806476	7.07132957	5.750128377	6.461053689	6.093418852	6.839371684	6.024244107	6.867978934	4.681857379	7.834033689	6.452878767	6.188016266	6.13283	4.382111268	5.912353093	4.798177499	5.710193754	6.8143	7.098628688	5.651366476	5.941810581	4.238830581	5.064786139	6.68100155	5.614235663	6.442780672	5.148541905	5.421620848	7.094307338	5.51461	5.535872759	6.395237379	6.12065207	5.672980581	5.090018934	5.083887379	6.248956476	6.71666147	6.421941733	5.883377227	6.923703093	6.27882147	7.764043349	3.310306176	6.301671905	6.319705663	6.644366999	6.47296	4.99275147	4.870725254	5.729801268	6.718873689	4.08549	5.483805254	6.108291503	5.771108852	6.19964	7.280338688	5.556366472	6.624008852	6.184097338
SIRPB1	1.29474207	2.288388767	1.087094185	2.09615155	2.070504234	3.823232953	2.648891684	3.122177227	1.57751	0.98737	3.176756139	2.324886176	6.223998688	1.298655195	1.994306476	3.04084957	3.870878377	3.597243689	1.430498852	1.198071684	2.408954107	2.372988934	0.919447379	1.851593689	1.720028767	3.070966266	0.89394	1.683381268	2.042723093	1.402487499	2.012413754	1.14211	4.432378688	1.014656476	1.104100581	2.111280581	2.591506139	1.96958155	1.277995663	3.365390672	4.209391905	1.331480848	2.905207338	0.37399	2.535372759	1.051467379	2.01228207	1.595820581	1.708088934	1.415807379	1.081196476	1.82845147	1.644741733	1.677517227	1.879943093	1.73764147	2.159303349	1.118006176	3.729091905	0.627635663	0.304456999	1.67394	2.88662147	1.472185254	2.632611268	2.702853689	1.11807	0.531445254	4.257441503	2.802818852	1.16796	4.972168688	1.639676472	1.414338852	1.919127338
IGF2R	2.11065207	3.403468767	2.144334185	3.66322155	2.185334234	3.970982953	4.721511684	3.265867227	3.32412	0.88145	4.539896139	3.628606176	7.276878688	1.701785195	2.622906476	4.35242957	3.751638377	4.418063689	2.215538852	1.927231684	1.644024107	4.991478934	0.396307379	3.140123689	3.676258767	3.988626266	2.03394	3.071331268	3.848263093	2.009617499	3.919313754	2.26428	6.212648688	0.554586476	2.891620581	4.726300581	5.091786139	3.54575155	2.683815663	4.042980672	5.666791905	2.287730848	4.895997338	1.82456	4.569392759	2.596867379	4.96493207	3.552390581	2.272088934	2.946237379	2.205866476	2.98537147	3.059041733	2.633897227	3.321343093	3.03948147	3.363253349	3.347556176	4.713861905	2.540275663	0.927416999	2.95722	4.76250147	3.653765254	4.190481268	3.582773689	0.90462	1.441175254	5.435741503	4.483568852	2.31799	6.066978688	3.016296472	3.288688852	4.651507338
P4HB	4.02482207	5.544198767	3.294834185	4.99059155	3.237944234	6.178572953	5.128771684	4.302847227	5.65751	4.42053	5.376956139	5.543596176	8.075988688	3.900375195	3.507536476	6.07951957	4.982328377	5.877523689	3.779758852	4.806691684	3.783844107	5.696728934	1.208467379	4.546113689	5.203638767	6.092196266	2.92574	4.048031268	4.636743093	3.138717499	4.989913754	3.79039	6.771498688	1.233516476	4.310270581	5.048090581	5.509076139	5.22028155	3.772455663	4.882770672	5.952421905	3.555070848	5.372607338	3.03457	5.638272759	4.513737379	5.29135207	4.545110581	3.502388934	4.597527379	3.124096476	4.81006147	4.681881733	4.342477227	4.043433093	4.30641147	5.162443349	3.985836176	6.096041905	3.901845663	2.621216999	4.32894	6.51030147	4.224645254	5.096111268	4.968913689	4.79197	3.406295254	6.261571503	5.384348852	3.06711	6.893788688	3.708906472	5.187118852	5.263097338
FUCA1	7.41635207	9.093358767	5.416154185	9.38670155	5.972514234	10.59150295	6.938891684	6.458877227	8.97465	8.31635	10.56607614	9.760926176	12.83138869	6.390225195	5.254786476	10.30533957	9.539968377	10.55823369	6.111308852	9.135141684	7.525964107	9.508258934	3.941167379	9.305893689	8.866678767	9.702016266	5.68147	7.277121268	9.460933093	6.225707499	7.479303754	7.42743	11.79127869	4.758146476	8.923930581	8.921760581	8.746896139	7.50878155	8.438525663	8.586260672	7.613501905	7.186010848	10.16804734	5.98485	9.174642759	7.502177379	9.73829207	8.201530581	5.789188934	6.978237379	5.861096476	7.90723147	7.471051733	7.597337227	6.899803093	7.22115147	8.312023349	5.127926176	9.274601905	5.259935663	5.332336999	7.26027	10.68087147	8.244675254	7.922511268	11.26677369	8.13592	4.838905254	11.0251215	7.101478852	5.25034	11.85923869	5.636856472	8.531008852	8.800527338
ESAM	2.74346207	4.299628767	2.974114185	3.20456155	2.628014234	4.697002953	2.186001684	3.737337227	2.30757	2.693	4.979996139	4.410246176	5.542488688	1.925685195	3.032906476	3.81264957	3.501628377	4.166673689	2.786498852	3.297531684	2.748454107	4.136878934	1.391807379	3.004493689	2.533118767	4.236346266	1.9927	1.889581268	3.966393093	2.016527499	2.735453754	2.75508	4.044368688	2.126446476	2.864370581	2.112100581	2.766106139	2.73471155	2.507925663	2.226290672	4.021761905	2.416120848	3.732597338	1.4963	3.602792759	1.666847379	2.79045207	2.374590581	1.620328934	1.817237379	1.960316476	2.29601147	3.013111733	2.462347227	3.522173093	3.15441147	4.379113349	0.752736176	3.025401905	2.865985663	2.491576999	2.61051	4.37183147	2.200095254	3.737871268	4.361713689	1.65349	1.370285254	3.764401503	2.104908852	2.68394	4.788328688	2.611486472	3.353988852	2.591057338
CST6	2.59207207	2.924988767	0.0	3.53536155	2.689614234	2.352952953	2.475771684	0.376967227	0.89799	3.4426	3.325676139	3.658156176	5.924248688	1.210275195	0.989996476	4.75519957	1.360108377	2.968243689	0.0	2.913541684	0.983434107	0.917608934	0.398327379	0.0	2.285628767	4.109996266	0.11075	2.532661268	1.715043093	1.636327499	0.705023754	1.92655	3.476808688	0.930776476	0.958540581	3.541650581	2.780876139	1.60502155	1.414985663	0.758040672	1.231491905	0.674140848	2.122517338	0.65181	3.187852759	1.957197379	-0.39009793	1.533450581	1.796298934	2.619647379	0.004896476	0.75286147	0.918341733	1.623937227	1.072433093	1.62637147	2.261803349	1.162826176	1.683341905	0.0	0.0	0.8028	2.02712147	3.200505254	1.055811268	0.879733689	1.6877	0.0	2.722801503	3.142288852	0.28203	4.198568688	0.204986472	2.361718852	1.892387338
MYOC	2.95896207	5.311658767	2.318574185	0.84135155	0.171634234	0.566802953	1.077941684	7.837977227	1.10563	2.39771	1.976236139	4.172366176	3.261618688	0.212845195	1.809506476	2.60113957	1.275548377	1.587953689	1.753878852	1.932301684	0.132214107	4.005458934	0.872737379	5.037533689	2.301588767	3.582126266	2.39235	1.718971268	3.439663093	0.941807499	0.968473754	2.14193	1.035578688	0.731996476	0.722540581	0.494450581	1.090486139	2.64466155	2.040815663	1.680680672	0.500011905	0.817190848	3.602487338	0.0	1.953812759	4.993157379	3.34689207	0.600130581	0.571598934	0.931607379	0.304486476	0.86295147	2.931551733	4.207207227	2.612783093	0.92728147	3.887623349	0.0	1.656471905	1.642235663	2.850986999	1.94476	2.19187147	2.021995254	2.581311268	2.331103689	0.0	2.466365254	2.736941503	-0.034861148	1.66589	2.656328688	0.834626472	3.448828852	2.846317338
SNAP29	4.87694207	7.211788767	4.730584185	6.24738155	6.141074234	8.634222953	6.556681684	4.708717227	6.22608	5.91049	7.791896139	6.857826176	11.13761869	5.195135195	4.858336476	8.40755957	9.090908377	7.827863689	4.728288852	5.923471684	6.216824107	8.000748934	4.427907379	5.777903689	6.038238767	4.795946266	4.63179	5.333161268	5.808243093	4.233137499	7.402043754	5.11296	9.561528688	5.213366476	4.967790581	6.123190581	6.299386139	5.58627155	5.528465663	5.995660672	8.176561905	5.645070848	6.823787338	4.10513	6.914022759	5.291367379	6.86429207	5.344010581	5.869228934	5.547807379	4.359376476	6.23078147	5.277131733	6.970327227	6.034873093	6.80231147	6.457883349	4.570486176	8.928751905	4.440285663	3.138446999	5.74608	8.05709147	5.299535254	6.669681268	7.323663689	4.21287	3.582485254	7.756261503	6.438698852	4.54712	10.30101869	5.577396472	6.223068852	6.707987338
WFIKKN2	1.55128207	1.766668767	0.589994185	0.93210155	1.147904234	1.231622953	0.434841684	0.538477227	0.66525	1.12882	1.065556139	2.619026176	3.603918688	0.827335195	1.135676476	1.52451957	-0.097261623	1.493733689	0.866468852	1.127051684	0.456914107	0.437638934	0.567097379	1.589413689	1.084998767	0.424146266	0.24522	0.967331268	1.185763093	0.906517499	0.528443754	0.81402	1.249268688	0.407926476	0.775280581	1.175470581	0.401346139	1.03530155	1.214115663	0.491870672	0.581071905	0.566780848	1.470467338	0.53739	1.914062759	1.124107379	0.24468207	0.767460581	0.189168934	1.626747379	0.217596476	0.41861147	1.118981733	0.677707227	0.606743093	0.66587147	1.636603349	0.658576176	0.990081905	0.534155663	-0.052613001	0.85008	1.19534147	2.470575254	0.712581268	1.508643689	0.51193	0.721445254	1.144311503	0.787638852	0.51497	2.281578688	0.873836472	0.834688852	0.977707338
CD177	2.03770207	4.414308767	3.333574185	4.45090155	5.825364234	2.369962953	5.933481684	7.347477227	3.76524	1.60291	4.102476139	6.199966176	8.071728688	2.759075195	4.929456476	2.82760957	1.846578377	4.161823689	4.363078852	1.297411684	1.831414107	6.950508934	3.012277379	1.868173689	3.358508767	3.596736266	3.30728	5.111071268	6.399733093	3.055287499	4.019723754	2.6764	6.214148688	1.762996476	3.138610581	7.685550581	7.858306139	3.90083155	3.569205663	3.705380672	5.773681905	1.623790848	3.663527338	0.86076	5.791862759	5.517897379	2.94958207	1.989960581	4.718758934	1.320847379	2.915336476	1.54518147	4.620951733	1.042207227	1.027763093	2.11318147	2.735713349	3.120856176	7.214571905	3.204935663	0.0	3.842	7.22025147	2.142935254	4.340131268	6.197203689	2.05869	1.201835254	4.330281503	8.568458852	4.00389	3.526558688	3.714896472	3.133238852	0.669017338
NID2	1.14534207	2.238078767	1.417994185	1.38872155	0.806304234	3.874422953	0.773101684	2.596537227	2.51232	0.41401	2.398196139	2.700456176	4.918298688	1.395085195	3.132606476	3.25487957	1.411718377	4.098413689	2.002478852	1.232781684	0.738054107	3.057828934	0.573067379	3.398863689	2.667268767	1.614676266	1.64776	1.780681268	2.515433093	1.032997499	2.378333754	1.58513	3.745938688	0.799676476	2.746680581	1.853640581	4.286016139	2.64002155	1.438435663	1.513150672	3.368051905	1.289680848	3.365427338	2.00006	3.435012759	2.258237379	3.89308207	1.808330581	1.404938934	2.543297379	1.249456476	2.03745147	2.744421733	0.564737227	1.445513093	1.89852147	4.007203349	1.398486176	1.834711905	2.414045663	0.982656999	1.85863	2.37283147	2.003015254	2.251831268	3.052173689	0.53829	1.732165254	3.070951503	1.953408852	1.74945	3.343368688	1.136696472	2.302698852	1.608707338
DAG1	6.65650207	7.304578767	6.296304185	6.82321155	3.121714234	6.647912953	4.418811684	6.620557227	7.09131	5.38931	6.115426139	7.639206176	8.861198688	5.374495195	4.417666476	7.42637957	5.354048377	6.016853689	5.620138852	6.657271684	4.737264107	7.082628934	3.249397379	7.065973689	5.721848767	4.365566266	4.73679	4.844571268	4.397013093	3.606687499	4.223473754	6.25586	7.403238688	4.076216476	5.488250581	3.272770581	4.777536139	5.64726155	5.354025663	5.770170672	5.013051905	4.729020848	7.023547338	3.74889	5.400932759	5.986757379	5.44273207	5.707850581	2.684158934	4.709067379	5.584296476	5.60534147	5.931381733	5.274157227	6.013583093	5.17683147	7.504653349	2.635546176	5.757011905	5.945565663	6.183646999	5.05367	3.28832147	4.678765254	5.336511268	5.798503689	4.11826	5.375825254	6.603681503	4.982538852	5.90714	7.827768688	4.484066472	6.315298852	6.167407338
CD97	4.15075207	5.671568767	5.176564185	5.32126155	4.379594234	5.473922953	5.625951684	4.234617227	5.03869	5.18054	5.900626139	5.328376176	8.109898688	5.268255195	4.057316476	6.29494957	6.634828377	5.065493689	5.215968852	4.721371684	4.194854107	5.559958934	3.997267379	4.260913689	5.018938767	6.920276266	4.55926	4.204341268	4.822143093	3.174397499	6.073893754	4.89215	7.128778688	5.359896476	4.511680581	3.548270581	5.385916139	4.11207155	3.142015663	5.423800672	6.080581905	4.534070848	5.856517338	3.36493	5.029402759	5.575217379	4.05398207	4.839630581	4.648888934	4.604337379	4.806326476	5.39291147	4.952221733	6.003247227	4.723573093	5.74362147	6.110323349	3.042376176	6.430091905	4.669685663	2.619666999	5.36754	5.54249147	4.293045254	5.919171268	5.417413689	5.50538	4.373905254	7.062691503	6.421828852	4.07775	6.955928688	4.811186472	5.572768852	6.220747338
CD109	3.22744207	4.403648767	1.424824185	3.35297155	0.926304234	3.551802953	2.825351684	2.015187227	3.62866	3.35937	3.214436139	3.693916176	6.111948688	2.111075195	1.674926476	4.67219957	2.136928377	2.695643689	2.346378852	3.722361684	1.153424107	3.771078934	0.881407379	3.449833689	3.671188767	1.389266266	2.07843	2.977211268	1.019963093	1.602687499	2.076453754	2.94342	5.192948688	0.208626476	2.201430581	1.919300581	3.088966139	3.34240155	2.825315663	2.994780672	3.612831905	2.619140848	4.141817338	0.97158	1.738542759	2.591737379	2.22544207	2.392190581	0.629438934	2.274857379	1.497566476	3.31448147	2.758461733	2.853187227	2.188853093	2.84815147	3.273323349	1.836486176	3.141561905	2.080475663	1.036626999	2.06049	2.65557147	2.474735254	2.231791268	1.346313689	1.8083	1.902235254	4.402801503	2.470008852	1.7718	5.331618688	1.679826472	2.948288852	3.575227338
VSIG4	5.34222207	7.360018767	3.323524185	7.22387155	6.758414234	7.846012953	5.651781684	4.691217227	6.45427	5.05126	8.335896139	7.998756176	10.84229869	5.917215195	4.592126476	7.92492957	7.652928377	8.257793689	4.899448852	6.271381684	6.636474107	6.951868934	5.510067379	5.035153689	6.347338767	7.258026266	5.0148	6.956721268	5.546073093	4.629437499	6.729823754	5.90637	8.857908688	5.456596476	7.350030581	7.820510581	7.306536139	6.21927155	5.785795663	5.044910672	6.625981905	6.421470848	6.861417338	4.6608	7.226232759	6.159317379	5.53606207	7.563010581	6.773958934	7.566287379	5.635426476	6.76812147	6.401401733	6.473957227	5.561083093	6.51901147	5.863353349	4.026276176	8.250651905	4.230385663	3.263256999	5.34374	6.36700147	6.451465254	6.039811268	5.923523689	3.50794	2.902625254	7.660991503	7.306388852	4.55922	9.178628688	5.839306472	6.979258852	6.438907338
CRIM1	6.28425207	7.055028767	4.404534185	5.53365155	3.198804234	4.841242953	3.557371684	4.812817227	5.2763	5.17385	4.804176139	6.037696176	6.374318688	4.876715195	3.588856476	5.96460957	4.549598377	4.604823689	4.839398852	6.081891684	4.035914107	5.797268934	2.888117379	5.772843689	4.907418767	3.613926266	3.63316	3.958021268	4.135493093	3.395807499	3.853883754	4.55588	5.673358688	3.633636476	4.748650581	2.209280581	3.063496139	4.71765155	3.894265663	4.920850672	3.718501905	2.797870848	5.769397338	2.71072	4.028672759	4.922547379	3.99200207	4.433760581	3.151058934	4.377247379	3.351286476	5.25278147	5.758011733	5.018907227	4.355913093	4.71093147	6.969143349	1.144846176	4.389551905	4.679905663	4.655976999	4.73325	4.23109147	4.426245254	4.037821268	5.118743689	2.62529	3.258345254	4.300221503	3.655798852	4.65326	6.772628688	4.543066472	5.611478852	5.295707338
