	N120	N123	N124	N126	N130	N131	N137	N138	N140	N144	N145	N146	N148	N149	N150	N151	N152	N153	N154	N155	N156	N158	N160	N163	N164	N165	N166	N169	N170	N171	N172	N173	N176	N177	N178	N179	N180	N182	N185	N186	N187	N188	N189	N190	N192	N193	N195	N197	N198	N199	N200	N202	N203	N204	N205	N209	N210	N211	N212	N214	N215	N216	N217	N219	N220	N221	N222	N223	N224	N226	N228	N229	N232	N233	N234	N235	N237	N238	N240	N243	N245	N246	N247	N248	N250	N254	N255	N256	N257	N258	N259	N261	N263	N264	N265	N266	N267	N268	N269	N270	N153A
GP1BA	2.848983173	6.191968426	2.814597227	4.611428688	7.247520672	4.103266476	5.31313155	4.847483348	2.561950593	4.230124707	3.078512953	6.369583971	4.954801435	4.024168377	5.979733173	4.741149649	3.210101684	5.171185735	4.62539	2.293231268	4.59688907	6.252633173	4.675405254	7.144209203	3.478150323	4.318724707	4.524986346	7.18688619	4.636157499	3.740563173	4.403924571	7.718006999	5.280088852	6.255507338	5.194581188	4.675323173	5.077491188	5.877281268	5.994298688	4.218872824	3.420636266	4.638301733	3.819656999	4.63794619	3.683451268	5.48341	4.60862	4.327714707	3.593068767	4.18623907	3.263383689	2.856963348	4.039507338	4.909236176	3.502889879	4.807856346	2.472168767	4.874791268	3.995933173	4.954284185	5.818028095	6.552353349	7.375839649	3.59383957	4.85035	4.805189879	5.514666472	5.469784571	4.311981268	3.951255195	5.675948095	4.529956758	4.774307499	5.357151631	5.000705735	3.98433	3.009364707	5.442876187	5.020428095	3.6674	3.149596476	4.885176176	2.65064	4.740069879	4.195586472	0.26080907	4.913066266	5.462948095	5.795276999	2.56716	4.01156	5.038634234	3.996031435	5.260041268	4.30575314	3.40939	3.884663971	3.142602824	2.80444	3.52370907	3.59275
LYVE1	5.280693173	5.618678426	0.738187227	4.450568688	5.688040672	6.331226476	5.16788155	5.155563348	3.759610593	6.059014707	3.748232953	5.759983971	6.060551435	5.130698377	7.243843173	5.546529649	4.862481684	5.497335735	3.90621	3.298501268	5.02069907	6.463863173	5.938965254	4.759679203	3.513740323	4.723274707	5.473556346	8.42645619	6.273967499	5.279853173	4.240904571	5.117106999	6.264008852	4.516167338	5.325041188	3.516223173	5.996241188	5.085011268	4.014338688	3.498052824	4.461666266	6.182491733	4.612616999	5.84017619	5.459431268	4.20156	5.23812	5.011164707	4.205778767	4.94045907	5.612903689	3.935743348	6.636527338	6.111496176	4.326119879	6.204286346	3.643698767	6.013071268	5.350603173	5.517104185	6.795728095	5.170753349	5.606249649	5.58790957	6.30449	6.980279879	6.615626472	5.806764571	6.789811268	5.225055195	4.091538095	5.576166758	6.813687499	5.223251631	5.624635735	4.56254	3.986544707	5.372346187	4.839688095	2.28958	5.163566476	5.386766176	4.69277	5.376529879	4.380086472	0.59839907	4.900686266	5.975938095	4.665646999	4.77621	4.52977	6.140774234	4.304271435	6.116631268	4.03616314	3.81052	5.766403971	5.394622824	3.75976	4.72809907	3.47215
CA3	4.590303173	4.590618426	0.970617227	5.046938688	6.595950672	4.030796476	6.15724155	5.234353348	3.429360593	4.313154707	4.395182953	4.437213971	5.960281435	4.949398377	5.061873173	5.031659649	3.933881684	4.560015735	3.70975	3.250531268	4.31452907	5.481663173	4.802825254	4.836939203	4.150330323	7.032904707	4.868216346	8.48719619	6.967457499	4.489343173	4.274964571	7.100286999	4.650168852	5.040957338	4.734391188	4.040223173	6.612991188	5.790131268	1.797398688	4.041872824	2.387296266	7.088981733	6.731646999	4.00278619	7.049081268	6.30238	4.38102	3.799634707	6.096578767	4.63557907	3.433033689	0.981383348	4.458267338	4.471756176	3.742829879	4.138226346	2.599108767	5.861551268	4.524423173	6.331414185	4.841848095	6.764273349	6.830059649	3.09677957	3.37108	5.163349879	5.289216472	6.368534571	3.565761268	2.812235195	5.207178095	5.240066758	5.602827499	4.335691631	5.095655735	3.04747	4.608144707	4.719256187	6.311658095	1.99261	5.026096476	5.428736176	3.30529	5.300719879	2.980646472	0.86335907	4.943406266	4.674118095	6.098396999	3.71006	4.88947	4.801264234	3.034661435	5.201471268	3.81861314	3.50855	4.807343971	3.984632824	3.42321	6.80715907	2.48327
TGFBR3	1.859013173	-0.068411574	0.391527227	0.759868688	0.780980672	0.490926476	2.30072155	2.033333348	0.0	2.044614707	0.810912953	1.619833971	2.426751435	2.473248377	3.535573173	1.252239649	-0.208798316	1.422115735	0.55395	1.618961268	1.67877907	2.729943173	0.946225254	1.441099203	0.0	0.471374707	1.873016346	4.89958619	1.523777499	0.528903173	0.870444571	2.617896999	1.872968852	0.459127338	2.467521188	0.0	2.675721188	1.359111268	0.0	0.876172824	0.0	2.635971733	2.042286999	1.79016619	0.526321268	0.0	1.61349	0.0	0.0	1.27351907	2.264943689	0.0	2.696447338	2.067946176	0.0	2.016176346	0.0	1.600331268	2.714613173	1.981524185	2.447638095	2.125683349	2.373259649	0.0	2.65786	2.955479879	2.178856472	2.424484571	3.128891268	2.311205195	1.276068095	0.417376758	2.820487499	1.934341631	1.953685735	1.05267	0.586864707	0.0	2.566658095	0.0	-0.018853524	0.220076176	0.0	1.139069879	1.652386472	-0.96366093	1.827386266	0.750178095	1.660496999	0.12762	0.69469	0.315184234	1.927481435	1.990491268	1.96592314	1.03441	2.557093971	0.0	0.77439	2.30342907	0.89793
DEFA1	6.708553173	6.488088426	3.511537227	6.566518688	7.609550672	6.031726476	6.33065155	5.948323348	4.111420593	6.918764707	4.412582953	5.917453971	6.384921435	5.609768377	8.290963173	6.851879649	5.996271684	6.492655735	6.10247	6.677421268	7.41014907	7.594513173	5.896985254	6.583809203	6.941930323	5.884624707	6.291686346	7.92974619	6.278517499	4.811593173	6.710274571	7.319956999	6.470138852	5.631907338	5.806551188	5.340453173	6.562771188	6.781891268	4.751908688	5.956222824	4.710426266	7.110121733	6.989336999	5.59925619	5.199211268	5.81807	5.54557	4.253754707	6.716108767	6.63604907	5.584783689	2.319263348	5.292777338	5.800356176	5.504329879	7.487976346	4.716298767	5.821971268	5.562603173	6.185044185	6.478728095	6.307003349	6.804479649	5.28088957	5.76517	6.548609879	7.014276472	7.113164571	6.758251268	6.035825195	4.726528095	4.889376758	6.544127499	6.960291631	6.936375735	6.19987	4.648654707	7.183446187	6.131848095	3.26865	6.432976476	6.741126176	4.76255	7.576009879	5.652146472	-0.44880093	7.191336266	6.038238095	6.498306999	4.70371	7.65372	6.509554234	6.668241435	7.080111268	6.86027314	6.1832	6.788433971	4.543582824	5.73593	5.67058907	4.71636
CD59	6.571143173	5.879848426	5.772037227	5.954248688	5.732860672	6.135646476	6.46077155	6.395703348	6.031250593	6.157494707	6.062532953	6.482933971	6.352391435	6.990058377	7.672133173	6.607769649	5.730101684	6.937995735	5.77077	6.117831268	7.02270907	6.855353173	6.668245254	5.821439203	6.176100323	6.189264707	6.744276346	10.95261619	6.624127499	6.681493173	6.327484571	6.677416999	6.721518852	6.173807338	7.609411188	6.851853173	6.921221188	6.869791268	5.955858688	6.816082824	6.747586266	7.028291733	6.308176999	6.94391619	5.877831268	6.21858	6.30812	6.334624707	6.347038767	6.71403907	7.343883689	6.081023348	7.226417338	5.728706176	6.705809879	7.046346346	6.404578767	6.923071268	6.891343173	6.499214185	6.647488095	6.674263349	6.869409649	6.39546957	6.34311	7.015009879	7.248766472	7.348744571	7.987481268	6.911885195	6.588958095	6.449726758	6.643027499	6.680651631	7.192985735	6.18272	6.479334707	6.283516187	6.736508095	6.33355	5.805696476	5.476086176	6.01342	6.953289879	7.231026472	-1.31017093	6.697766266	6.657288095	6.953086999	5.91776	5.87982	6.587584234	6.449131435	7.054681268	7.04492314	5.99193	7.569883971	6.437352824	6.23818	6.83637907	6.20246
APOM	3.573643173	3.519758426	0.176937227	2.716708688	4.129930672	5.942986476	4.96305155	4.789213348	0.542980593	5.223234707	1.870342953	5.009373971	5.651731435	4.709838377	6.942943173	3.886119649	3.632181684	4.532035735	4.52151	3.159191268	3.77560907	5.473963173	2.881405254	4.384519203	2.562130323	2.722344707	6.174896346	6.52077619	5.509567499	4.415883173	2.821664571	5.138566999	7.326068852	2.869917338	5.881381188	2.174443173	4.832011188	4.604981268	3.667598688	3.651702824	3.133616266	5.186951733	3.616936999	7.11999619	3.208361268	2.81202	4.61372	1.876034707	2.603038767	3.67502907	5.643693689	2.655743348	6.822377338	6.241066176	3.507709879	5.028356346	1.602758767	5.510371268	3.633863173	4.649744185	6.435588095	4.831293349	4.320019649	2.05852957	4.57465	5.999439879	6.070636472	4.776484571	3.981961268	5.690955195	2.419128095	3.879586758	6.736827499	5.353471631	5.231115735	4.87479	1.928594707	4.375536187	4.577858095	1.40051	4.109096476	5.064166176	2.36875	4.455189879	4.273176472	-0.64766093	5.046986266	5.518278095	2.707156999	3.99964	4.01305	3.584864234	4.502201435	5.328161268	5.03225314	3.36053	4.266233971	1.777072824	2.56202	4.05704907	3.92753
OSMR	1.495643173	0.008918426	0.0	1.135958688	2.115400672	1.777826476	2.64428155	1.973343348	0.055520593	1.947984707	1.327182953	2.632413971	3.091401435	2.586108377	3.384533173	2.453699649	0.0	2.236605735	1.35688	1.420811268	2.03931907	3.078183173	1.212855254	1.086489203	0.0	0.559394707	1.789316346	4.80663619	2.509827499	1.697173173	0.587944571	1.850606999	2.526928852	1.249997338	2.555731188	0.605543173	2.828481188	1.798401268	0.782148688	1.628432824	0.0	2.852071733	1.530366999	2.86894619	0.962911268	0.14432	2.19341	0.0	0.0	1.86933907	2.209363689	0.920033348	3.142657338	2.453776176	0.712969879	2.265436346	0.0	2.324331268	3.136633173	3.061284185	3.205448095	2.234033349	2.503479649	0.0	2.89512	3.217989879	2.704426472	2.665344571	2.713121268	1.655765195	1.152648095	1.127636758	2.711717499	2.041021631	2.430835735	1.08436	1.687154707	1.242166187	2.230798095	0.08334	0.0	-0.163063824	0.0	1.320239879	1.692066472	0.38032907	2.796406266	1.858708095	2.650196999	0.0	0.0	1.907074234	1.832791435	2.281591268	1.72375314	1.52366	2.789293971	0.0	0.73181	2.39407907	1.35729
LILRB2	8.861393173	9.385338426	5.103387227	7.992358688	10.02084067	9.005596476	9.91370155	9.266723348	10.27575059	9.832144707	7.526232953	8.424953971	10.24767144	8.772478377	10.30156317	8.847249649	9.939051684	10.03025574	8.08984	8.920601268	10.28632907	11.28021317	9.222955254	10.1429792	10.81623032	8.928884707	8.359786346	12.51338619	10.5683775	8.875933173	8.993724571	9.412846999	9.315738852	9.319857338	10.43186119	8.214953173	10.40042119	9.313001268	8.679628688	10.51957282	6.792816266	11.06061173	9.546796999	8.89361619	9.574831268	7.23395	9.00796	8.893594707	8.519938767	10.12600907	10.06857369	8.806193348	8.934437338	11.60565618	8.184209879	10.35959635	8.713028767	9.174241268	10.42422317	10.41577419	10.51262809	10.70529335	9.575279649	9.71958957	10.08413	9.667079879	9.070086472	8.804084571	10.00847127	8.427705195	8.072748095	10.08768676	9.646247499	9.577531631	10.45658574	8.57784	9.832554707	9.276456187	9.861148095	6.86461	8.609766476	8.707716176	8.272	8.847969879	7.383416472	0.01102907	9.903126266	9.378168095	9.243756999	7.57112	8.55761	10.29207423	9.714721435	9.995981268	9.25976314	10.21402	9.881413971	9.421602824	8.35408	9.43388907	8.76404
UMOD	0.0	0.041938426	-0.095652773	0.0	1.031500672	0.492216476	0.88907155	0.525303348	-0.173349407	0.237664707	-0.165057047	0.361003971	0.944211435	0.0	1.672133173	0.0	0.0	0.0	0.18885	1.075831268	0.80876907	1.741053173	0.0	0.622699203	0.444880323	0.255864707	1.352016346	4.67855619	0.760647499	0.680993173	0.0	0.0	1.282648852	0.370597338	1.735511188	0.731283173	1.146281188	0.0	-0.078761312	0.0	0.0	0.815281733	0.0	1.90573619	-0.054058732	0.02384	0.84072	0.006624707	0.0	0.98899907	1.341523689	0.115153348	1.644417338	0.699826176	0.869289879	1.175336346	0.0	1.155071268	0.521473173	0.435234185	0.489468095	0.0	0.473699649	0.25261957	0.30245	1.606799879	0.945786472	0.0	2.189331268	1.268165195	0.0	0.0	1.409107499	0.885991631	1.272035735	0.53897	-0.008955293	0.417736187	0.815368095	0.0841	0.233396476	0.262926176	0.0	0.0	1.101326472	0.19631907	1.069456266	0.920218095	0.751686999	0.0	0.08097	0.445904234	0.393101435	0.927101268	0.92833314	0.0	1.492823971	0.653052824	0.0	0.66013907	0.18941
CCL18	11.12631317	9.451338426	11.35667723	9.608958688	9.982300672	10.74610648	9.86505155	10.87852335	10.49686059	10.15705471	10.84340295	10.89344397	9.506881435	11.54329838	11.38061317	11.17486965	10.64382168	11.34070574	10.7601	11.12377127	11.00775907	11.22230317	10.69578525	9.878689203	10.58316032	10.76658471	11.94263635	16.09730619	10.9323275	11.65820317	10.68295457	11.557707	12.06728885	10.99758734	12.36817119	11.16973317	10.33266119	11.57605127	11.13394869	10.48614282	11.91192627	10.57649173	11.121817	10.86047619	11.12527127	10.95059	10.73211	10.28866471	10.26946877	10.82296907	11.19190369	11.08727335	11.71033734	9.235736176	11.53563988	10.81454635	10.82447877	10.88907127	10.85215317	10.23319419	10.12051809	10.42455335	10.91436965	10.18050957	11.27065	11.86373988	11.71375647	12.34113457	12.90839127	11.68977519	11.02363809	10.79757676	10.8226975	10.53531163	10.85824574	10.0368	10.98492471	11.33533619	11.12023809	11.06054	9.974266476	10.11728618	10.34491	11.79899988	12.57767647	-0.63057093	11.18882627	10.69394809	11.862467	11.55622	10.80824	11.63531423	10.24545144	11.34663127	11.62422314	10.06298	12.45322397	10.54640282	11.23079	10.65483907	11.37758
COL18A1	7.978563173	7.529798426	7.104847227	7.011318688	8.119200672	7.521726476	6.82826155	7.531353348	7.610990593	7.782844707	6.526282953	8.111003971	7.767511435	7.151958377	9.282653173	6.637019649	7.421501684	8.542795735	7.5703	8.735551268	8.30349907	8.535623173	8.104895254	8.218829203	8.215320323	8.430394707	8.570126346	12.69562619	8.915407499	8.013453173	8.547084571	7.977646999	7.921468852	7.273027338	9.843761188	8.304203173	8.152381188	8.154401268	7.325858688	7.367242824	8.438846266	7.970131733	8.503236999	8.23295619	6.895611268	7.84443	7.42217	7.902084707	8.344258767	7.63270907	7.957363689	8.182323348	6.530507338	7.610146176	8.521309879	8.339206346	8.154958767	7.306351268	7.316713173	6.912914185	8.169088095	7.949943349	7.288229649	8.24118957	7.12209	8.087409879	8.410856472	7.617754571	9.689051268	7.803065195	6.819748095	8.110446758	7.649767499	8.146301631	8.776625735	7.30713	7.666974707	8.331306187	8.022508095	6.63647	7.731116476	7.847996176	7.48307	8.303589879	7.859596472	-0.17287093	8.022346266	8.441258095	8.067826999	8.31333	8.65766	7.916934234	7.946231435	9.017481268	8.81178314	8.14553	8.497013971	8.956262824	7.18307	7.96977907	7.68651
LCN2	2.791913173	3.258838426	0.829937227	2.995918688	5.069560672	2.626886476	3.41905155	3.331883348	2.440840593	2.783644707	1.831862953	3.218803971	3.483611435	3.143888377	4.663423173	2.976609649	2.665911684	2.985665735	1.82315	2.367571268	4.14182907	4.707733173	2.983465254	4.011879203	3.388250323	2.912564707	2.321366346	5.80324619	2.787717499	1.791203173	3.074724571	4.063256999	3.222268852	2.673927338	2.536371188	2.538273173	3.571091188	3.279501268	1.477748688	2.688672824	0.956736266	3.937341733	4.705956999	2.53741619	2.903291268	2.45652	2.1745	1.993524707	2.928698767	3.40627907	2.416353689	0.356523348	3.091067338	4.011526176	1.795109879	4.816806346	2.276608767	3.222111268	2.393803173	4.352324185	3.590348095	3.735243349	4.469229649	1.98694957	3.28142	4.014779879	3.076276472	3.689004571	2.435871268	2.220765195	1.733088095	2.337806758	3.047067499	2.868021631	3.156205735	1.87918	2.092374707	4.294456187	3.454518095	1.00193	2.249146476	2.785436176	1.25357	3.605959879	1.729386472	-1.45825093	3.412436266	2.721888095	3.205676999	1.12804	3.529	3.437814234	3.803431435	3.432401268	2.90008314	2.80836	3.460233971	2.166812824	1.72576	1.89604907	1.10199
KIT	1.224363173	1.189348426	0.0	1.251918688	0.913360672	3.193436476	2.79797155	1.163123348	1.037760593	1.961354707	0.799552953	2.726553971	3.519301435	2.079488377	2.670313173	2.855139649	1.511351684	2.048665735	0.28454	0.911741268	1.96567907	2.119373173	0.985355254	1.075539203	1.345000323	1.620294707	1.781956346	5.38484619	3.128557499	1.871263173	0.480814571	1.129986999	2.783608852	1.454847338	2.336831188	1.492503173	2.567731188	1.730231268	2.433278688	0.760182824	0.771966266	1.867081733	1.153016999	2.27005619	2.962301268	1.06769	2.77967	0.977084707	0.784088767	2.07552907	2.599913689	1.031983348	3.478367338	3.260286176	1.497639879	2.223556346	0.343738767	2.836651268	2.055833173	2.275824185	2.528428095	1.427273349	1.922049649	0.83039957	3.00698	2.959649879	2.459146472	2.402794571	3.545881268	2.342885195	0.748568095	2.161806758	3.201007499	3.075041631	2.883975735	0.90105	1.060984707	2.153406187	1.420118095	0.0	1.018446476	0.263796176	0.75679	1.538609879	0.0	-1.29604093	2.293916266	1.870238095	1.937106999	0.96344	0.02629	2.161594234	1.494471435	1.748291268	1.27818314	1.36014	2.364083971	0.856452824	0.70006	1.70084907	2.69053
C1QTNF1	9.245163173	8.839608426	8.244907227	8.460978688	7.963450672	10.49344648	10.13774155	9.889963348	9.606380593	8.917694707	9.902782953	9.811963971	9.991841435	10.86067838	10.39549317	10.38763965	9.645671684	10.00391574	8.37604	9.436181268	10.07764907	11.09163317	10.98324525	8.734099203	9.545080323	10.45165471	11.30195635	14.08940619	9.097717499	10.19303317	9.665994571	10.530037	10.85006885	9.939827338	10.25140119	10.20638317	10.92460119	10.69714127	9.217318688	10.50519282	9.632036266	10.50664173	9.166786999	11.07906619	9.181571268	8.96999	9.29493	8.557074707	9.480798767	9.98244907	10.79569369	8.955933348	11.17945734	9.555316176	9.561729879	9.940026346	9.257328767	11.07293127	10.06520317	10.19888419	10.22299809	10.85615335	10.31227965	9.51863957	9.92686	10.64983988	10.84648647	10.73372457	10.09568127	10.39260519	9.952548095	9.447976758	10.1872775	10.24634163	10.06749574	9.3255	9.998114707	8.360556187	10.60615809	9.82066	9.049656476	8.310846176	8.37304	9.888069879	10.14447647	-0.41535093	10.28744627	9.796068095	10.305067	8.96086	7.31136	10.79585423	9.921151435	10.68481127	10.71929314	9.18818	11.15726397	8.690582824	9.74664	10.49173907	10.20458
AOC3	5.715243173	5.301318426	4.929657227	4.926698688	4.549980672	5.152326476	5.07261155	5.200403348	5.251440593	5.773314707	4.383442953	5.505473971	5.511101435	5.388868377	7.124663173	4.727679649	5.329141684	6.712085735	5.58161	6.265701268	6.08037907	6.251063173	5.629735254	5.777089203	6.023570323	5.936094707	6.949446346	9.86351619	6.180157499	6.068253173	6.013804571	5.624956999	6.539998852	4.383027338	7.528581188	5.907373173	6.239541188	6.399771268	4.170898688	5.471972824	6.099106266	5.897311733	6.158856999	5.67850619	4.318521268	5.54412	5.43233	5.720204707	5.916558767	5.86453907	6.256773689	5.787803348	5.949377338	5.536146176	6.237019879	6.421506346	5.813168767	6.194341268	4.608903173	5.065414185	5.595588095	5.781463349	4.905519649	5.77566957	4.24423	5.973909879	6.225956472	5.757464571	7.722061268	6.087625195	4.305538095	5.852246758	5.894917499	5.518801631	6.485075735	5.45558	4.605404707	4.804086187	5.355198095	4.58506	5.299946476	4.562436176	5.43542	5.832739879	5.806326472	0.00157907	6.105736266	5.997958095	5.467946999	5.94501	5.88227	5.493084234	5.306531435	6.413461268	5.89765314	5.74278	6.335353971	6.332222824	4.94156	5.61467907	5.41729
GAS6	12.72650317	7.754688426	11.02952723	11.87201869	7.557680672	11.31735648	12.25861155	12.32253335	10.64304059	12.27638471	10.03080295	12.54890397	12.14097144	12.66533838	13.82209317	10.65465965	8.990031684	13.17476574	10.79385	13.22937127	12.97034907	12.72414317	12.32851525	11.2768592	11.25606032	8.448544707	13.41743635	16.60489619	11.7530775	11.88186317	13.17519457	13.643647	13.76778885	11.69046734	14.81609119	9.477283173	12.93528119	13.03114127	6.946448688	12.76572282	8.380206266	12.58264173	12.294237	12.80044619	10.83645127	9.3075	12.32185	6.961654707	12.39156877	12.86640907	12.96522369	7.557853348	12.53751734	11.01197618	12.24135988	13.27613635	9.433168767	12.87868127	11.78873317	11.70880419	12.69019809	12.54193335	12.20233965	8.66548957	9.80591	13.05601988	13.23159647	13.28322457	14.27507127	12.85495519	10.50411809	10.34544676	12.1815575	12.28428163	12.92095574	12.18025	10.28276471	9.065626187	12.40848809	9.09189	9.815776476	10.32943618	10.06527	11.71549988	13.38975647	-0.80821093	12.99249627	11.50800809	12.694697	9.29911	11.00616	10.38734423	13.01318144	14.03006127	13.93945314	13.05526	14.01960397	6.564182824	12.57725	13.58907907	12.30619
IGLC2	7.435483173	7.125338426	5.842967227	6.810968688	7.491090672	7.311906476	7.23468155	7.047253348	6.564020593	7.394994707	5.994382953	6.921313971	7.297501435	7.787588377	8.848533173	7.807109649	7.164141684	7.496335735	6.59319	7.843791268	7.60268907	7.929793173	7.709605254	6.751059203	6.968860323	7.215274707	7.312756346	10.75848619	7.443797499	7.037763173	7.408364571	7.467496999	7.652128852	6.512447338	8.378191188	7.110553173	7.890191188	7.251071268	7.057048688	7.209852824	7.738946266	7.756361733	7.563696999	7.86139619	7.090601268	6.74934	7.15547	7.491174707	7.316218767	7.54680907	8.058623689	7.143323348	7.931447338	7.209306176	7.284549879	7.910806346	6.835418767	7.712051268	7.453033173	7.373884185	7.971838095	7.744043349	7.642439649	7.31952957	7.46874	8.274969879	7.762006472	7.633574571	8.765251268	7.707905195	6.893228095	7.572716758	8.086017499	7.513611631	8.097345735	7.01743	7.471894707	7.429976187	7.710528095	6.15731	7.361246476	7.353436176	6.97095	7.808559879	7.549546472	-0.26983093	7.594856266	7.969698095	7.244216999	7.23017	7.69361	7.317674234	7.331601435	8.016571268	7.69981314	7.11872	8.089293971	7.785042824	6.5751	7.65282907	6.42082
